Date,Depth (m),56 -> 56  Fe  [ O2 MSMS ] 
10/04/16,75,0.02720794681
10/04/16,100,0.0374670918
10/04/16,100,0.02907072161
10/04/16,110,0.04463739984
10/04/16,130,0.1595137931
10/04/16,145,0.03417410579
10/04/16,160,0.02400022375
10/04/16,165,0.01466344875
10/04/16,175,0.0329848279
10/04/16,185,0.07290420483
10/04/16,200,0.03252750512
10/18/16,130,0.4640809145
10/18/16,75,0.03348454013
10/18/16,110,0.02115236045
10/18/16,140,0.02960628637
10/18/16,160,0.02005138068
10/18/16,170,0.02432300258
10/18/16,200,0.0240043908
11/01/16,75,0.0152283821
11/01/16,85,0.04275306649
11/01/16,100,0.03329594021
11/01/16,110,0.03462329907
11/01/16,120,0.02882547811
11/01/16,130,0.03492451595
11/01/16,150,0.01558219539
11/01/16,160,0.04801791123
11/01/16,175,0.03529521911
11/01/16,200,0.0364334167
11/15/16,50,0.04080468626
11/15/16,60,0.01839066585
11/15/16,75,0.01512392401
11/15/16,90,0.01382930105
11/15/16,100,0.01895031533
11/15/16,110,0.01639743708
11/15/16,120,0.01865617228
11/15/16,130,0.02671531343
11/15/16,160,0.04648902064
11/15/16,190,0.03748092632
12/15/16,50,0.04876572184
12/15/16,75,0.04177673911
12/15/16,95,0.05365501905
12/15/16,100,0.1464909925
12/15/16,105,0.2584780299
12/15/16,110,0.290851763
12/15/16,115,0.08865144544
12/15/16,130,0.1426213236
12/15/16,160,0.108476046
01/03/17,75,0.03249072772
01/03/17,85,0.03624326058
01/03/17,90,0.03408141396
01/03/17,95,0.0349599242
01/03/17,100,0.03846826487
01/03/17,105,0.0333674476
01/03/17,110,0.09821303279
01/03/17,130,0.447279773
01/03/17,160,0.233936346
01/17/17,50,0.04130946686
01/17/17,75,0.030299021
01/17/17,85,0.03695629284
01/17/17,90,0.02884738544
01/17/17,95,0.03074953697
01/17/17,100,0.04800191878
01/17/17,110,0.2069977446
01/17/17,130,0.2511849194
01/17/17,160,0.2179864503
01/17/17,180,0.2156451663
01/31/17,75,0.02642106087
01/31/17,85,0.02697750563
01/31/17,90,0.1029519864
01/31/17,95,0.02824380472
01/31/17,100,0.03575628691
01/31/17,110,0.293440865
01/31/17,130,0.2369724813
01/31/17,160,0.2423072857
02/15/17,50,0.03126837019
02/15/17,75,0.03064909573
02/15/17,75,0.03414100051
02/15/17,90,0.03285609854
02/15/17,95,0.02957119509
02/15/17,100,0.05886549354
02/15/17,105,0.04112409033
02/15/17,110,0.2059638449
02/15/17,130,0.2364116607
03/15/17,75,0.0450639866
03/15/17,85,0.06451662223
03/15/17,90,0.04240775242
03/15/17,100,0.05768101357
03/15/17,105,0.04608782326
03/15/17,110,0.04943422773
03/15/17,130,0.2696348134
03/15/17,160,0.2586038224
08/10/17,20,0.04723967064
08/10/17,50,0.05310532206
08/10/17,60,0.05007379704
08/10/17,80,0.05056949132
08/10/17,90,0.09158851854
08/10/17,108,0.04354621308
08/10/17,140,0.0757475553
08/10/17,160,0.3040333755
10/04/17,50,0.0250755776
10/04/17,75,0.02572335789
10/04/17,85,0.02199490106
10/04/17,90,0.050971732
10/04/17,100,0.1438658027
10/04/17,110,0.3346196018
10/04/17,120,0.1662813604
10/04/17,130,0.1778029476
10/04/17,160,0.1101479875
10/04/17,180,0.2032983971
